id,img_filename,sentence_target,sentence_distractor,relationship_target,relationship_distractor,subject,predicate,object,word_target,word_distractor,pos,open_images_split,result
820,1e1e10ebface46d0.jpg,a man is sitting,a man is laying,"{'id': '61c4daefa4b47de1edb69b28', 'Label1': 'Man', 'label': 'is', 'Label2': 'Sit', 'bounding_box': [0.11, 0.298351, 0.44600000000000006, 0.5862069999999999]}","{'id': '61c4daefa4b47de1edb69b27', 'Label1': 'Woman', 'label': 'is', 'Label2': 'Lay', 'bounding_box': [0.132, 0.497751, 0.42100000000000004, 0.40629699999999996]}",Man,is,Sit,Sit,Lay,object,train,True
215,1945ed13cc9e5334.jpg,a woman is wearing glasses,a man is wearing glasses,"{'id': '61c4b435281ae3642ac54f7f', 'Label1': 'Woman', 'label': 'wears', 'Label2': 'Glasses', 'bounding_box': [0.001875, 0.248632, 0.48, 0.7490220000000001]}","{'id': '61c4b435281ae3642ac54f76', 'Label1': 'Man', 'label': 'is', 'Label2': 'Stand', 'bounding_box': [0.458125, 0.01251, 0.539375, 0.985144]}",Woman,wears,Glasses,Woman,Man,subject,train,True
1066,08c90260cf025c0e.jpg,a woman is sitting,a woman is standing,"{'id': '61c4d9faa4b47de1edabec5c', 'Label1': 'Woman', 'label': 'is', 'Label2': 'Sit', 'bounding_box': [0.6675, 0.54, 0.21250000000000002, 0.35]}","{'id': '61c4d9faa4b47de1edabec65', 'Label1': 'Man', 'label': 'is', 'Label2': 'Stand', 'bounding_box': [0.0, 0.011667, 0.2925, 0.986666]}",Woman,is,Sit,Sit,Stand,object,train,True
529,07048d45c6a3f75a.jpg,a girl is wearing glasses,a man is wearing glasses,"{'id': '61c4b362281ae3642abc089a', 'Label1': 'Girl', 'label': 'wears', 'Label2': 'Glasses', 'bounding_box': [0.44, 0.124167, 0.34125, 0.875]}","{'id': '61c4b362281ae3642abc089b', 'Label1': 'Man', 'label': 'is', 'Label2': 'Smile', 'bounding_box': [0.075, 0.123333, 0.6525000000000001, 0.834167]}",Girl,wears,Glasses,Girl,Man,subject,train,True
550,9e38c8ff657106d8.jpg,a man is playing guitar,a man is sitting,"{'id': '61c4e08fa4b47de1edf4872f', 'Label1': 'Man', 'label': 'plays', 'Label2': 'Guitar', 'bounding_box': [0.495833, 0.083125, 0.504167, 0.735625]}","{'id': '61c4e08fa4b47de1edf4872b', 'Label1': 'Woman', 'label': 'is', 'Label2': 'Sit', 'bounding_box': [0.2925, 0.585625, 0.339167, 0.34875]}",Man,plays,Guitar,Guitar,Sit,object,train,True
669,cfc9d4c0b8700440.jpg,a woman is sitting,a woman is singing,"{'id': '61c4e2bba4b47de1ed0c5766', 'Label1': 'Woman', 'label': 'is', 'Label2': 'Sit', 'bounding_box': [0.133125, 0.515009, 0.244375, 0.48405299999999996]}","{'id': '61c4e2bba4b47de1ed0c5765', 'Label1': 'Man', 'label': 'is', 'Label2': 'Sing', 'bounding_box': [0.38375, 0.129456, 0.215625, 0.856473]}",Woman,is,Sit,Sit,Sing,object,train,True
605,144aef25af14f59c.jpg,a woman is standing,a woman is riding a bike,"{'id': '61c4da82a4b47de1edb1d9e9', 'Label1': 'Woman', 'label': 'is', 'Label2': 'Stand', 'bounding_box': [0.49125, 0.239171, 0.21625, 0.758946]}","{'id': '61c4da82a4b47de1edb1d9ea', 'Label1': 'Man', 'label': 'on', 'Label2': 'Bicycle', 'bounding_box': [0.115, 0.096045, 0.4075, 0.902072]}",Woman,is,Stand,Stand,Bicycle,object,train,True
613,477cf52f0dcc1313.jpg,a girl is standing,a man is standing,"{'id': '61c4b637281ae3642adbc055', 'Label1': 'Girl', 'label': 'is', 'Label2': 'Stand', 'bounding_box': [0.255639, 0.225, 0.336466, 0.463125]}","{'id': '61c4b637281ae3642adbc056', 'Label1': 'Man', 'label': 'is', 'Label2': 'Smile', 'bounding_box': [0.488722, 0.10625, 0.453947, 0.566875]}",Girl,is,Stand,Girl,Man,subject,train,True
736,546b7a9c6a69ee31.jpg,a man is sitting,a man is walking,"{'id': '61c4dd52a4b47de1edd0e43a', 'Label1': 'Man', 'label': 'is', 'Label2': 'Sit', 'bounding_box': [0.426667, 0.306667, 0.245, 0.611111]}","{'id': '61c4dd52a4b47de1edd0e43b', 'Label1': 'Woman', 'label': 'is', 'Label2': 'Walk', 'bounding_box': [0.841667, 0.255556, 0.15333299999999994, 0.7155549999999999]}",Man,is,Sit,Sit,Walk,object,train,True
77,b5a7d09622a42eec.jpg,a woman is sitting,a man is sitting,"{'id': '6169294c996c1a591224500c', 'Label1': 'Woman', 'label': 'is', 'Label2': 'Sit', 'bounding_box': [0.56125, 0.170833, 0.32624999999999993, 0.495834]}","{'id': '6169294c996c1a5912245007', 'Label1': 'Man', 'label': 'is', 'Label2': 'Smile', 'bounding_box': [0.120625, 0.241667, 0.25625000000000003, 0.7558330000000001]}",Woman,is,Sit,Woman,Man,subject,test,True
